query,pipeline,metric,value
rolling organizer,baseline,dcg,4.4165082750002025
root touch up blonde ),baseline,dcg,5.5234537842252145
rope skipping without rope,baseline,dcg,20.791610835700162
royal blue striped shirt women,baseline,dcg,0.0
rubber grommet plugs,baseline,dcg,0.0
rudin by ivan turgenev,baseline,dcg,26.126840383807167
rug sets 3 piece with runner,baseline,dcg,0.0
s8,baseline,dcg,0.0
sa bodywash,baseline,dcg,0.0
sagittarius,baseline,dcg,11.51690409398137
sailor moon choker,baseline,dcg,0.0
samsung 9 case,baseline,dcg,0.0
samsung fridge water filter rf24fsedbsr,baseline,dcg,7.0
samsung galaxy s9 charger fast charging,baseline,dcg,3.0147359065137516
samsung watch protector 40mm,baseline,dcg,14.03503778058959
sandbox truck,baseline,dcg,10.132269970019635
santa wrapping paper,baseline,dcg,13.523718244648071
satanic hoodie,baseline,dcg,30.60079538396249
sawgrass ink,baseline,dcg,31.804915366618417
scales digital weight food,baseline,dcg,0.0
scallops,baseline,dcg,12.041302983975125
scoutmaster minutes,baseline,dcg,11.416508275000202
screw kit,baseline,dcg,2.3333333333333335
se seat clamp,baseline,dcg,7.0
sea life camera,baseline,dcg,0.0
seanan mcguire,baseline,dcg,28.790179460104664
security camera hd,baseline,dcg,0.0
shampoo buddy,baseline,dcg,7.0
shams,baseline,dcg,6.207969650641791
shazam,baseline,dcg,12.15698365675121
shea moisture body wash,baseline,dcg,23.26672567587945
shilajit honey,baseline,dcg,4.4165082750002025
shiny car decal,baseline,dcg,7.0
shirt pins for women,baseline,dcg,20.264577514847286
shoe s,baseline,dcg,0.0
shoes with wheels for boys,baseline,dcg,2.2082541375001012
shop air filtration system,baseline,dcg,7.0
shoyo drink,baseline,dcg,7.0
shredders for home,baseline,dcg,4.4165082750002025
signal booster band 12,baseline,dcg,5.607209969647869
silk flowers,baseline,dcg,0.0
silk sweaters for petite women,baseline,dcg,0.0
similac milk,baseline,dcg,15.433392342546119
simple womens halloween costumes,baseline,dcg,0.0
size 15 knitting needles,baseline,dcg,23.1326641419119
size 6 diapers,baseline,dcg,18.246159341380757
sketch book binder,baseline,dcg,0.0
skywatcher dobsonian 8,baseline,dcg,7.0
slim leg straight cut jeans,baseline,dcg,0.0
sling backpack purse for women kavu,baseline,dcg,0.0
slots organizer,baseline,dcg,9.333333333333334
small 2 tier bookshelf,baseline,dcg,6.514735906513751
small dog collars with bling,baseline,dcg,17.124762412500303
small pet wood ladder,baseline,dcg,10.624477925641994
small plastic storage cubes,baseline,dcg,2.2082541375001012
"smart watch color women, men black",baseline,dcg,3.0147359065137516
smie,baseline,dcg,11.416508275000202
sml,baseline,dcg,7.0
snacks,baseline,dcg,0.0
snow and rain boots for women,baseline,dcg,0.8671944789536635
snowflake necklace,baseline,dcg,21.180437440976423
sofa cover for dogs,baseline,dcg,2.023453784225215
sog fixed blade knives with sheath,baseline,dcg,11.716155866911699
solar christmas tree,baseline,dcg,2.7079696506417914
sony xperia l1 case,baseline,dcg,29.311465056862264
sound bars for tv,baseline,dcg,5.2014199603979465
spider crop top,baseline,dcg,11.416508275000202
spinnypins,baseline,dcg,7.0
split monitor adapter for computer,baseline,dcg,0.0
splitter cable for headset,baseline,dcg,18.746708288661925
st patricks day door decoration,baseline,dcg,4.4165082750002025
stanley thermos,baseline,dcg,27.073491931751413
star wars edge of the empire,baseline,dcg,31.804915366618417
star wars imperial star destroyer,baseline,dcg,23.1326641419119
stihl ms200,baseline,dcg,31.804915366618417
stocking holder,baseline,dcg,11.826783643089488
story grid,baseline,dcg,19.74329191808969
straight crochet hair,baseline,dcg,12.13294862877021
strawberry sweater,baseline,dcg,7.9165082750002025
stuart woods the short forever,baseline,dcg,19.70783539347981
suction cup holder for desk,baseline,dcg,7.0
sundiata,baseline,dcg,31.804915366618417
sunflower blue hair wreath,baseline,dcg,17.931244181513954
survival kit,baseline,dcg,9.764009891406726
swim caps for women swimming waterproof,baseline,dcg,29.311465056862264
t,baseline,dcg,0.0
tab a case,baseline,dcg,2.1072099696478683
table board reversible cutting board,baseline,dcg,12.993450309756156
table lamp designed,baseline,dcg,7.0
tablet,baseline,dcg,5.833333333333334
tacks for upholstery,baseline,dcg,28.790179460104664
tazo iced tea,baseline,dcg,23.388691578476525
teamsters,baseline,dcg,25.781462352030964
teenage girl gifts,baseline,dcg,0.0
teriyaki sauce,baseline,dcg,0.0
thank you note cards without envelopes,baseline,dcg,14.291888970223773
the big easy,baseline,dcg,14.916508275000202
the female of the species,baseline,dcg,23.1326641419119
the manor house murder,baseline,dcg,11.435278067885411
the school of greatness by lewis howes,baseline,dcg,10.392789260714373
the taking of deborah logan,baseline,dcg,6.514735906513751
through wall heat and a/c,baseline,dcg,0.0
tik tok led lights,baseline,dcg,0.0
timberland for women,baseline,dcg,0.0
tinting wrap tools,baseline,dcg,5.508186216269907
to son from dad,baseline,dcg,9.333333333333334
tool lp,baseline,dcg,12.283702753953866
tooth grinding,baseline,dcg,0.0
top gear,baseline,dcg,5.348069239847085
touch free soap dispenser,baseline,dcg,23.96339581701518
towels bathroom sets clearance prime,baseline,dcg,0.0
toy grill set for boys,baseline,dcg,7.0
translator without internet,baseline,dcg,11.416508275000202
trash cans for office,baseline,dcg,0.0
travel cord roll,baseline,dcg,14.916508275000202
troika: a communicative approach,baseline,dcg,31.804915366618417
troll dolls,baseline,dcg,17.139213832155747
trooper bandana shoe,baseline,dcg,14.916508275000202
turmeric extract,baseline,dcg,9.454697965739168
turquoise blue dress,baseline,dcg,16.008186216269905
tutu skirt for baby girl,baseline,dcg,0.0
tutus for women,baseline,dcg,7.0
twin xl comforter for college girls,baseline,dcg,0.0
ubbi diaper pail,baseline,dcg,4.484455904497469
under armour,baseline,dcg,0.0
under armour rock project,baseline,dcg,17.954677939303714
under counter lighting,baseline,dcg,2.023453784225215
unlocked pixel 3,baseline,dcg,4.356787117558548
unlocked samsung galaxy s9 plus,baseline,dcg,16.639498319014056
urns for human ashes,baseline,dcg,7.630663753873083
ursa major,baseline,dcg,24.804915366618417
usb extension cord,baseline,dcg,0.0
uv filter 49mm,baseline,dcg,28.790179460104664
valenties,baseline,dcg,25.46599747524523
valentines gifts for him,baseline,dcg,0.0
vcr dvd combo,baseline,dcg,21.939942032789965
vegan protein powder,baseline,dcg,4.4165082750002025
velvet dresses for women,baseline,dcg,3.0147359065137516
vest zipper women,baseline,dcg,5.425408678882615
victor mouse trap,baseline,dcg,19.45744739696257
video games,baseline,dcg,4.4165082750002025
vintage veil hat,baseline,dcg,19.27329539255875
vinyl coated weights 10 lb,baseline,dcg,9.707969650641791
vinyl records,baseline,dcg,0.0
vocabulary builder,baseline,dcg,13.207969650641791
voda reve,baseline,dcg,7.0
volt lighting transformer,baseline,dcg,9.630144725324232
vortrak,baseline,dcg,31.804915366618417
voss,baseline,dcg,17.409958584756357
wahl finale,baseline,dcg,10.645665660085209
walk on red sole paint,baseline,dcg,7.0
wall lights bedroom,baseline,dcg,2.493450309756155
wall mounted wooden spice storage rack,baseline,dcg,0.0
wallniture,baseline,dcg,15.01690409398137
water pills sundown,baseline,dcg,25.46599747524523
waterproof limit switch,baseline,dcg,23.1326641419119
waxing strips for men,baseline,dcg,20.535754128903843
wd purple 8tb,baseline,dcg,23.1326641419119
we could've finished last without you,baseline,dcg,7.0
weber grill cover,baseline,dcg,7.308629930045814
weighted blanket without beads,baseline,dcg,6.624762412500304
wella 7r 810,baseline,dcg,7.0
wheelchair for adults,baseline,dcg,2.1072099696478683
white booties,baseline,dcg,10.264293027988977
white collar long sleeve shirt women,baseline,dcg,0.0
white messenger bag,baseline,dcg,5.4165082750002025
white platform bed frame queen,baseline,dcg,7.0
white spandex shorts under dresses,baseline,dcg,0.0
white strobe lights,baseline,dcg,1.0
wifi siren alarm,baseline,dcg,12.319598261992146
window plant holder outdoor,baseline,dcg,8.5
windows 10 for dummies,baseline,dcg,20.639213832155747
windproof lighter rechargeable flexible,baseline,dcg,17.27016207288714
winter cycling shoe covers,baseline,dcg,23.457446721824542
winter jacket,baseline,dcg,0.0
wireless keyboard mouse combo,baseline,dcg,11.231707921725317
womans wallet,baseline,dcg,0.0
women cardigan,baseline,dcg,0.0
women strapless bathing suit,baseline,dcg,7.0
women zip up hoodie,baseline,dcg,0.0
women's crop-top letter printed sweatshirt usa,baseline,dcg,7.0
women's running socks,baseline,dcg,10.264293027988977
womens 3/4 sleeve tops and blouses,baseline,dcg,2.7079696506417914
womens open front hoodie,baseline,dcg,7.0
womens sexy xl shirt,baseline,dcg,7.0
womens summer hat,baseline,dcg,2.493450309756155
womens swimsuits plus size two piece,baseline,dcg,0.0
wood shelves wall mounted,baseline,dcg,0.0
wooden gifts for men,baseline,dcg,0.0
wooden stool,baseline,dcg,0.0
wooden suit hangers for men,baseline,dcg,10.014735906513751
word wall letters,baseline,dcg,7.0
work pants for women office plus size,baseline,dcg,0.0
wrench arborist,baseline,dcg,4.4165082750002025
wrestling shoes,baseline,dcg,4.826783643089488
wrist compression brace,baseline,dcg,9.023453784225214
wristlet crossbody anti theft,baseline,dcg,7.9165082750002025
wusthof knife set without block,baseline,dcg,11.416508275000202
xbox one compatible keyboard and mouse combo,baseline,dcg,10.409958584756357
xlr splitter 2 female 1 male,baseline,dcg,21.790179460104664
yamaha psr ew410,baseline,dcg,23.132664141911903
yogi tea stomach ease,baseline,dcg,21.96599747524523
yongnuo led,baseline,dcg,29.697705396970548
youtu,baseline,dcg,0.0
zinc liquid supplement,baseline,dcg,17.931244181513954
zoom eyepiece for telescope,baseline,dcg,24.174251612745334
zumba shoes,baseline,dcg,11.416508275000202
zyrtec,baseline,dcg,12.618212722256459
- we are not such things,baseline,ndcg,0.0
1-8x scope,baseline,ndcg,0.19337552605478373
10 inch bookshelf,baseline,ndcg,0.04046465472762361
10 magnetic eyelashes without eyeliner,baseline,ndcg,0.18694165798266432
10.9 inch ipad case without pencil holder,baseline,ndcg,0.1290025766804648
108 curtains without grommet,baseline,ndcg,0.0
11 x 21 plant trays for seedlings without holes,baseline,ndcg,0.21819952657550817
11 year old girl gifts,baseline,ndcg,0.0
12 month xbox live gold digital,baseline,ndcg,0.0
12 v cable,baseline,ndcg,0.0
12x20 throw pillow covers set of 2,baseline,ndcg,0.2835695151947709
144hz gaming monitor,baseline,ndcg,0.0
2 be or not 2b,baseline,ndcg,0.0
2 pin converter,baseline,ndcg,0.0
"2.5"" hdd",baseline,ndcg,0.0
20g nose ring hoop,baseline,ndcg,0.0
27 in curved monitor,baseline,ndcg,0.21030251639431768
2k digital picture frame,baseline,ndcg,0.7615501803099929
3 way faucet,baseline,ndcg,0.44394445283835726
3-6 months denim overalls,baseline,ndcg,0.4636218704263563
3-inch drawer pulls natural,baseline,ndcg,0.0
32 inch curved monitor,baseline,ndcg,0.37275167281093696
36 bar stools,baseline,ndcg,0.0
3d mink lashes,baseline,ndcg,0.06031005981458391
3d printer,baseline,ndcg,0.14170677167780119
3d printer nozzle,baseline,ndcg,0.20683183356439339
45 inch smart tv,baseline,ndcg,0.17011756050328802
4k hdmi switch,baseline,ndcg,0.3283665045199519
4k tv samsung,baseline,ndcg,0.0
5 candle,baseline,ndcg,0.28164785384211616
55 inch tv wall mount,baseline,ndcg,0.05459112561892713
6 ft table cover fitted,baseline,ndcg,0.3280950145200875
6 hole saw for cornhole boards,baseline,ndcg,0.4309863832090928
600w power supply 80 plus,baseline,ndcg,0.6858190769033709
70s outfits for women,baseline,ndcg,0.0
7xl lab coat,baseline,ndcg,0.2671028731585959
a deed without a name,baseline,ndcg,0.8804703479646389
a veterans christmas,baseline,ndcg,0.0
a year without autumn,baseline,ndcg,0.5030904516575293
a. c. bhaktivedanta swami prabhupada,baseline,ndcg,0.4195229158357219
acrylic magnetic frame,baseline,ndcg,0.43147241836283606
addidas shoes,baseline,ndcg,0.0
adjustable hitch,baseline,ndcg,0.1852161847302052
air force 1 '07 shoes for women,baseline,ndcg,0.1637733768567814
air fryer oven,baseline,ndcg,0.0
air nike jordan 1,baseline,ndcg,0.10391548995695943
air pods case panda,baseline,ndcg,0.2671028731585959
ajax dishwashing liquid,baseline,ndcg,0.4512190423356
alienware monitor 34,baseline,ndcg,0.4595700595908718
all the news not fit to print,baseline,ndcg,0.48651280590325274
almay for sensitive,baseline,ndcg,0.43794769786950044
alocane emergency burn gel,baseline,ndcg,0.5453565959231937
amazon basics spoons plastic,baseline,ndcg,0.47298946291818983
andis t edger,baseline,ndcg,0.19221374716805112
android tablet cases for kids,baseline,ndcg,0.0
angel figurine,baseline,ndcg,0.42576722400572925
anklet,baseline,ndcg,0.0
anova precision cooker,baseline,ndcg,0.5398128214488269
anti trump lawn sign,baseline,ndcg,0.28728324027692265
aorus mouse pad,baseline,ndcg,0.6487913416300581
apex pro,baseline,ndcg,0.15189185033586713
apple power adapter and lightning cable,baseline,ndcg,0.12476687233999427
apple watch bands silver,baseline,ndcg,0.06335619058732639
army sash,baseline,ndcg,0.34721143879331146
art supplies for kids 9-12,baseline,ndcg,0.0
art supply trolley,baseline,ndcg,0.1637733768567814
ash brown hair balayage short,baseline,ndcg,0.21024957183719528
audio bible,baseline,ndcg,0.3495518898291717
aveeno nourishing cleanser,baseline,ndcg,0.4423294634274222
baby bows,baseline,ndcg,0.0
baby flight bed,baseline,ndcg,0.05062540043444105
baby girl clothes photoshoot,baseline,ndcg,0.0
baby girl outfits,baseline,ndcg,0.05169369115446661
baby interactive toys 6 to 12 months,baseline,ndcg,0.0
baby irish clothes,baseline,ndcg,0.22546352519836096
baby wall art decals,baseline,ndcg,0.1637733768567814
backlit keycaps,baseline,ndcg,0.2658080206813687
bag for essential oils,baseline,ndcg,0.41234575217431296
baking sets nonstick,baseline,ndcg,0.0
ball trimmer men,baseline,ndcg,0.0
bamboo bath sheet,baseline,ndcg,0.6474722340862188
bar soap scrub pouch,baseline,ndcg,0.04295388471944384
barbie dolls,baseline,ndcg,0.0
barcel,baseline,ndcg,0.37744298345960303
barcelona jersey long sleeve,baseline,ndcg,0.6777441493662182
bath & shower safety mats,baseline,ndcg,0.17280278303257413
bathroom hooks for towels,baseline,ndcg,0.05412479622841818
bathtub hair catcher,baseline,ndcg,0.04930069892507245
bathtub tray,baseline,ndcg,0.0
battery powered inverter,baseline,ndcg,0.0
bb30 shimano bottom bracket,baseline,ndcg,0.4011135976278996
bbq grill,baseline,ndcg,0.11722252835572886
bcaa without artificial sweeteners,baseline,ndcg,0.08263898742327157
beanies,baseline,ndcg,0.0
bearded dragon light bulbs,baseline,ndcg,0.17060921827860473
beats x wireless earbuds,baseline,ndcg,0.0
bed frame with drawers king,baseline,ndcg,0.21296018375182635
bedroom lamp,baseline,ndcg,0.0
bedskirts full size,baseline,ndcg,0.10332949630181451
beeswax wood polish,baseline,ndcg,0.5472064285812664
beet chips,baseline,ndcg,0.7676015952202222
belief without borders,baseline,ndcg,0.3334726635238291
best teacher gifts for christmas,baseline,ndcg,0.12939550004470363
between the spark and the burn,baseline,ndcg,1.0
bevel skin care men,baseline,ndcg,0.14832133119424962
bibs for baby girl waterproof,baseline,ndcg,0.0
big dreams daily joys,baseline,ndcg,1.0
big gym towel,baseline,ndcg,0.0
bingo game,baseline,ndcg,0.15620663498818027
biodegradable wipes,baseline,ndcg,0.22746430309947757
black and white striped door mat,baseline,ndcg,0.0
black bodycon short dress,baseline,ndcg,0.0
black dress,baseline,ndcg,0.0
black fitflop,baseline,ndcg,0.4706830060676491
black hub caps,baseline,ndcg,0.0
black leather laptop backpack for women,baseline,ndcg,0.5969809277248416
black plastic ribbon,baseline,ndcg,0.24451687953089446
black shirt womens,baseline,ndcg,0.0
blank high security check paper,baseline,ndcg,0.5338664963250199
blessed not lucky,baseline,ndcg,0.731796386585168
blood circulation for feet,baseline,ndcg,0.0
blower motor,baseline,ndcg,0.04930069892507245
blue bathroom rugs,baseline,ndcg,0.3376362274073312
blue car bed,baseline,ndcg,0.2312806664973829
bluetooth headset with microphone,baseline,ndcg,0.04930069892507245
bluetooth sunglasses,baseline,ndcg,0.3565894437064862
body back scalp massager,baseline,ndcg,0.35917442976921266
bodycon dresses for women,baseline,ndcg,0.0
boneco a451,baseline,ndcg,0.8292601615340153
boogie wipes,baseline,ndcg,0.7304902286363357
book on dogs for 6 year old,baseline,ndcg,0.0
bookbag with wheels,baseline,ndcg,0.10575071917019173
bookcase,baseline,ndcg,0.07073717128739368
bottom bracket tool,baseline,ndcg,0.5113516230618197
boxed turtle,baseline,ndcg,0.1637733768567814
boy doll clothes 15 inch,baseline,ndcg,0.33722621904829786
boys gray boat shoes,baseline,ndcg,0.1637733768567814
boys queen size sheets,baseline,ndcg,0.4433874432581856
boys smart watch,baseline,ndcg,0.052875359585095864
bra extender 3 hook for plus size,baseline,ndcg,0.12046410806704796
braun series 7 replacement head,baseline,ndcg,0.15165262501495227
brayer rollers,baseline,ndcg,0.2575840874616795
broadway shirt,baseline,ndcg,0.5745894146178191
broom and dustpan,baseline,ndcg,0.3485426879740802
brown leather sofa pillows,baseline,ndcg,0.2854668213374439
bts merchandise,baseline,ndcg,0.0
bulwark flame resistant jacket,baseline,ndcg,0.7921980217411079
c7 z06 stage 2,baseline,ndcg,0.7615501803099929
cabinet knobs,baseline,ndcg,0.0705333542487353
cable modem,baseline,ndcg,0.0
cake mix,baseline,ndcg,0.0
calcium,baseline,ndcg,0.0
calily dog shampoo,baseline,ndcg,0.29036290084575983
calming bed for dogs,baseline,ndcg,0.1178744769853348
camo short short,baseline,ndcg,0.06031005981458391
camper courb,baseline,ndcg,0.7441140557478907
can am maverick x3 roof,baseline,ndcg,0.6408208273515668
canon camera on sale,baseline,ndcg,0.0
canon eos m50 - kit,baseline,ndcg,0.2199635131842664
canon t8i battery,baseline,ndcg,0.1574201986641837
car rooftop door step,baseline,ndcg,0.4166728618833761
carabiner clip,baseline,ndcg,0.058337253893336154
carbon monoxide detectors,baseline,ndcg,0.0
cars coloring book,baseline,ndcg,0.494058504422787
cbd,baseline,ndcg,0.3129308819533236
cd/dvd printers,baseline,ndcg,0.0
celtic knot earrings sterling silver,baseline,ndcg,0.5928811084672917
chacheres creole seasoning,baseline,ndcg,0.2671028731585959
chain extenders,baseline,ndcg,0.3661087440461026
champion home standby generator,baseline,ndcg,0.45970943645755863
chapstick total hydration,baseline,ndcg,0.41193871806495036
charlie brown costume,baseline,ndcg,0.6124399817067053
charmaine delta kitchen faucet,baseline,ndcg,0.3996758179753366
cheap laptops windows 10,baseline,ndcg,0.0
cheese dome with base,baseline,ndcg,0.3096081744814155
cheetah mount,baseline,ndcg,0.5557211406951896
cherry pie,baseline,ndcg,0.43889285053277677
chia and flax seed blend,baseline,ndcg,0.1919394082290355
chicago bears garden flag,baseline,ndcg,0.7897116510473011
chicago med,baseline,ndcg,0.0
christian books children,baseline,ndcg,0.0
christian cozy mysteries,baseline,ndcg,0.14695873982490262
christmas craft snowman,baseline,ndcg,0.15816380660347773
christmas music streaming,baseline,ndcg,0.33080622323865533
christmas stockings for girls,baseline,ndcg,0.0
christmas+top and dresses+for+women,baseline,ndcg,0.0
chromebook protectors,baseline,ndcg,0.10332949630181451
chronograph shooting,baseline,ndcg,0.7751482523375255
"city adventures, no. 3",baseline,ndcg,1.0
clear ball ornaments,baseline,ndcg,0.35600017558617925
clear floral case,baseline,ndcg,0.10332949630181451
clip on earrings,baseline,ndcg,0.04270006763257964
clock mechanism,baseline,ndcg,0.5000772645045816
coach wallet for women,baseline,ndcg,0.0
coffee mugs,baseline,ndcg,0.04845042272437554
coil incense,baseline,ndcg,0.42933195159593157
colorful decorations for party,baseline,ndcg,0.0
colorful keys and locks,baseline,ndcg,0.34413368358720625
comfify collapsible colander,baseline,ndcg,0.1308303690594047
computer stickers star wars,baseline,ndcg,0.3455477394561602
conchos for saddles,baseline,ndcg,0.3625574690906418
connector 6 pin,baseline,ndcg,0.35361608514184517
converse slip on,baseline,ndcg,0.0
cookie monster party supplies,baseline,ndcg,0.3228999450811581
cool slippers for men,baseline,ndcg,0.0
cool watch under 20,baseline,ndcg,0.0
cooling fan,baseline,ndcg,0.11428800339559922
cotton mask with filter pocket,baseline,ndcg,0.07586234590649749
couples octoberfest costume,baseline,ndcg,0.0
cow print bedding,baseline,ndcg,0.6948133568228183
crib sheet set boys,baseline,ndcg,0.0473411227365995
cricut create,baseline,ndcg,0.49287821623504624
crkt black knife,baseline,ndcg,0.4770596179558766
cubes travel luggage organizers,baseline,ndcg,0.0648407565921314
cutting board turquoise,baseline,ndcg,0.20464118971080777
cutting boards for kitchen dishwasher safe,baseline,ndcg,0.06335619058732639
cybling womens shoes,baseline,ndcg,0.07395695213498131
dammit doll,baseline,ndcg,0.45761267423758334
dc action figures 6 inch,baseline,ndcg,0.10575071917019173
dc court graffik shoes womens,baseline,ndcg,0.3344825153776215
dc motor,baseline,ndcg,0.39597348130066734
death march to the parallel world rhapsody light novel,baseline,ndcg,0.6572294494826014
decorative oil bottle,baseline,ndcg,0.07531297487081397
definitely not paid enough for this,baseline,ndcg,0.0
delonghi espresso machine,baseline,ndcg,0.19219635574803845
demon from the dark kresley cole,baseline,ndcg,0.3506929715288398
denim accessories,baseline,ndcg,0.19997131796348647
dermaroller,baseline,ndcg,0.1738628505505498
dessa,baseline,ndcg,0.5889255678238342
detachable phone lanyard purple,baseline,ndcg,0.3791369531629889
dial antibacterial hand soap,baseline,ndcg,0.5642580474567005
diamond dotz,baseline,ndcg,0.4062010141223324
diana gabaldon,baseline,ndcg,0.18246489372092609
dinosaur christmas shirt,baseline,ndcg,0.5187032767617973
dinosaur clothes children,baseline,ndcg,0.08993041811658074
dishes with animals on them,baseline,ndcg,0.0
dishwasher machine,baseline,ndcg,0.03098540231316372
divoom timebox,baseline,ndcg,0.4828791064230483
dj monitor speakers,baseline,ndcg,0.0
do not pet dog patch,baseline,ndcg,0.45932967188799373
do4u,baseline,ndcg,0.7441140557478907
dog dinosaur bone,baseline,ndcg,0.0
dog doors for exterior doors,baseline,ndcg,0.23430673110551667
dog sweaters for small dogs girl,baseline,ndcg,0.0
doggie screen,baseline,ndcg,0.11701316241395196
dokken,baseline,ndcg,0.5841160434988925
done with chemo,baseline,ndcg,0.5390031312763821
double wedding ring quilt pattern,baseline,ndcg,0.2073612289146658
drum pendant light,baseline,ndcg,0.5331574493448918
dry cell batteries,baseline,ndcg,0.0818866884283907
dry itchy skin relief for dogs,baseline,ndcg,0.13912582516207192
dual monitor docking station for laptop,baseline,ndcg,0.2485723753175316
dump truck light,baseline,ndcg,0.18854603801410327
dungeons and dragon miniatures,baseline,ndcg,0.2673154472919771
duramax sticker,baseline,ndcg,0.48470702662051635
dust cloths reusable,baseline,ndcg,0.06335619058732639
dust collectors for woodworking,baseline,ndcg,0.0
dutch oven le creuset,baseline,ndcg,0.24577252025716387
dvd player,baseline,ndcg,0.27116870780538266
eco friendly cloth napkins,baseline,ndcg,0.2617422773016363
educational toys for 6 year olds,baseline,ndcg,0.15244000961482582
egyptian makeup,baseline,ndcg,0.43590250202144243
elephant tea mug,baseline,ndcg,0.7438314027190706
elevation training mask,baseline,ndcg,0.6807578651605644
embroidery letter patches,baseline,ndcg,0.3489895615869866
endure book,baseline,ndcg,0.3098731481364648
engraved rolling pin,baseline,ndcg,0.31363350447510524
erase pro,baseline,ndcg,0.5954883158353995
esp32 can-bus,baseline,ndcg,0.0
evenflo bottles,baseline,ndcg,0.6087022017608726
exhaust back pressure tester,baseline,ndcg,0.523654074262131
extension cord 10 ft usb port,baseline,ndcg,0.0
exterior light white,baseline,ndcg,0.4195229158357219
extra large wire dog crate,baseline,ndcg,0.0
face make for 10,baseline,ndcg,0.014732295162907532
falling skies,baseline,ndcg,0.0
fancy feast wet cat food,baseline,ndcg,0.0705333542487353
fangs 2.0 evil teeth dental veneer,baseline,ndcg,0.5487984264631184
fedora,baseline,ndcg,0.25817125852798034
feeder baby,baseline,ndcg,0.3382024000713709
fenwick casting rod,baseline,ndcg,0.6566364388150966
fire place,baseline,ndcg,0.0
first man dvd,baseline,ndcg,0.45522076321396443
flannel quilt fabric,baseline,ndcg,0.2671028731585959
flash items,baseline,ndcg,0.07347739090382172
flat iron heat resistant mat,baseline,ndcg,0.15130526417047127
florida maps,baseline,ndcg,0.47786016972905804
flower art prints,baseline,ndcg,0.052875359585095864
fluo bike. tape,baseline,ndcg,0.20443682063709898
flying disc,baseline,ndcg,0.058337253893336154
fm transmitter bluetooth for car anker,baseline,ndcg,0.6967729330112913
fob battery,baseline,ndcg,0.43860167448331094
fogless mirror for shower,baseline,ndcg,0.19690762716662433
frozen pop up adventure,baseline,ndcg,0.3365195978042655
full size kids quilt set,baseline,ndcg,0.38003125267085913
g-spot clitoral sucking vibrator,baseline,ndcg,0.0
g6a-8e,baseline,ndcg,0.4301257936809202
gacha life,baseline,ndcg,0.0
garden drill bit for planting,baseline,ndcg,0.5588978710176855
gasoline container 5 gallon,baseline,ndcg,0.0
gate,baseline,ndcg,0.0
gatorade bottle,baseline,ndcg,0.3268125078151481
gaxaly note 9 case,baseline,ndcg,0.0
gefilte fish,baseline,ndcg,0.731094844414278
gel grip tape clear,baseline,ndcg,0.11033151395223711
gel wet look hair,baseline,ndcg,0.32308458180416816
gh06 tripod,baseline,ndcg,0.27335460726201305
girls bible,baseline,ndcg,0.05459112561892713
girls comforter sets full,baseline,ndcg,0.0
glass pipes for tobacco,baseline,ndcg,0.0
glossy photo paper 4x6,baseline,ndcg,0.4828791064230483
go pro,baseline,ndcg,0.0
godzilla tapestry,baseline,ndcg,0.7305933909500779
goggle face shield,baseline,ndcg,0.32343039907636906
gold shirt women,baseline,ndcg,0.0
goodthreads long sleeve slim fit,baseline,ndcg,0.1743377274884058
google chromecast,baseline,ndcg,0.34821842482495635
gopro,baseline,ndcg,0.03079934692340868
grandparents gifts,baseline,ndcg,0.10764243204553908
grapes,baseline,ndcg,0.05019834727103789
green yeti water bottle,baseline,ndcg,0.03725544413276451
grey sweater,baseline,ndcg,0.0
gwent cards,baseline,ndcg,0.3563431158142594
hair dye white permanent,baseline,ndcg,0.2603311835611227
hair toner,baseline,ndcg,0.1449305008553118
haka,baseline,ndcg,1.0
halloween decorations clearance,baseline,ndcg,0.0
halloween gown for women,baseline,ndcg,0.0
happy 50th birthday decorations,baseline,ndcg,0.3068485459351087
happy 60th birthday stickers,baseline,ndcg,0.6131471927654584
hasbro,baseline,ndcg,0.0
hd20 bulb optoma,baseline,ndcg,0.7944322510700572
hdmi displayport adapter,baseline,ndcg,0.22712956744410778
heavy duty wall hooks,baseline,ndcg,0.08380546215452389
heel slip pads,baseline,ndcg,0.16761092430904778
hell costume,baseline,ndcg,0.0
hemp wick,baseline,ndcg,0.6857768018545547
henry and the kite dragon,baseline,ndcg,0.6735439182299785
hercules costume,baseline,ndcg,0.6974495294627108
here is new york e.b. white,baseline,ndcg,0.32144124649173067
hiboy,baseline,ndcg,0.4279071556706507
high beach chairs for adults,baseline,ndcg,0.1637733768567814
high quality drone,baseline,ndcg,0.06560943871624222
hippie clothing for men,baseline,ndcg,0.0
home gym,baseline,ndcg,0.0
hose reel,baseline,ndcg,0.0
hot thermos for food,baseline,ndcg,0.1076379528184086
how does a dinosaur,baseline,ndcg,0.0
hp 250 g7,baseline,ndcg,0.6796402418812761
huawei mate 20 case,baseline,ndcg,0.7441140557478907
humidifiers diffusers,baseline,ndcg,0.08799699265292184
hydraulics pumps,baseline,ndcg,0.2767232227338422
hydro flask 32 oz,baseline,ndcg,0.09298538130343073
if lost or drunk please return to bestie,baseline,ndcg,0.7441140557478907
ignition coil,baseline,ndcg,0.2845601638744757
imaginext,baseline,ndcg,0.0
imak compression arthritis gloves,baseline,ndcg,0.6277475137696562
ina may's guide to breastfeeding,baseline,ndcg,0.30421676445363094
